round,kernel,run_id,iter,status,cycles,baseline_cycles,roofline_cycles,ratio_to_roofline,is_new_best,cost_usd,hypothesis_summary
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,7,ok,142221,150339,131072,1.0850601196289062,False,0.870373,"**Last turn's EXPECTED missed badly — and that miss is the most informative result so far.** Ascending order cost **+17,104 cycles** (149,757 vs 132,653), with identical loops, bytes and mvouts. So..."
round1,llama-q8-gemv-gemmini-n1,20260907-043120-a7d0,8,ok,132653,150339,131072,1.0120620727539062,False,1.583308,"**Last turn's EXPECTED missed** (predicted 126–132.5k, got 142,221 = **+9,568**). Prediction said "">133.5k means the core's misses actively interfere"" — they do, and badly: ~8 windows × ≤6k cycles of..."
round1,llama-attn-scores-int8,20260907-043130-fa24,0,ok,51280,51280,6144,8.346354166666666,True,0.0,
round1,llama-attn-scores-int8,20260907-043130-fa24,1,ok,12729,51280,6144,2.07177734375,True,1.463135,The sealed header isn't present locally; I'll assemble-check with a stub header.Macro-parameter name collision with the asm operand name; renaming the parameter.Kernel written and it compiles cleanly...
round1,llama-attn-scores-int8,20260907-043130-fa24,2,ok,10472,51280,6144,1.7044270833333333,True,0.549008,"**Last turn's miss:** I predicted 5.5–7k and got 12,729 ≈ 99 cycles per 4-row block. My block issues 64 arithmetic beats (8×4 int16 + 4×8 int32) plus ~11 beats of reduce, so the evidence says the..."
round1,llama-attn-scores-int8,20260907-043130-fa24,3,ok,10008,51280,6144,1.62890625,True,0.353625,"Last turn's prediction (~10k) landed: 10,472 ≈ 82 cycles/block against a model of 64 arithmetic beats + ~11 reduce beats per block, so the kernel is now arithmetic-pipe-bound with the loads hidden —..."
round1,llama-attn-scores-int8,20260907-043130-fa24,4,ok,8574,51280,6144,1.3955078125,True,0.423772,"Last turn saved 464 cycles, not the 1,024 I predicted: the kernel is at 78 cycles/block against 56 arithmetic + 10 reduce beats, so ~12 cycles/block are stalls, not beats. That tells me the..."
round1,llama-attn-scores-int8,20260907-043130-fa24,5,ok,10081,51280,6144,1.6407877604166667,False,0.537247,"Last turn's prediction (~8,900) was beaten: 8,574 ≈ 67 cycles/block, which matches the beat model exactly (32 mul + 24 int32-add + ~10 reduce = 66). The kernel is now at the floor of a **single..."
round1,llama-attn-scores-int8,20260907-043130-fa24,6,ok,10522,51280,6144,1.7125651041666667,False,0.574563,"Last turn's result (10,081, a regression) confirms the second branch of my prediction: on this Saturn config **all** vector arithmetic — integer ALU, multiplier, FP, conversions — shares one in-order..."
round1,llama-attn-pv-int8,20260907-043140-2246,0,ok,22856,22856,4096,5.580078125,True,0.0,
round1,llama-attn-pv-int8,20260907-043140-2246,1,ok,9803,22856,4096,2.393310546875,True,0.541301,"HYPOTHESIS: The per-row `vle32`/`vse32` of the int32 accumulator costs 2 strips × (16+16 beats on load/store pipes) per row and, worse, creates a load→vwadd→store→load dependency through memory every..."
round1,llama-attn-pv-int8,20260907-043140-2246,2,ok,6276,22856,4096,1.5322265625,True,0.270498,"Last turn's EXPECTED (12.5k single-pipe / 8.4k overlapped) bracketed the measured 9,803: 19.1 beats/row is below the 24-beat serialized figure, so the `vwmul` (8 beats) and `vwadd.wv` (16 beats)..."
round1,llama-attn-pv-int8,20260907-043140-2246,3,ok,4999,22856,4096,1.220458984375,True,0.25175,"Last turn's EXPECTED (5,800) vs measured 6,276: 24.5 cycles per pair, when the mul pipe (8+8 beats) and add pipe (16 beats) should have overlapped to 16. What that says about the machine: the single..."
round1,llama-attn-pv-int8,20260907-043140-2246,4,ok,4992,22856,4096,1.21875,True,0.680689,"Last turn's EXPECTED (4,600) vs measured 4,999: 39 cycles per 4-row block against a 32-beat pipe model — the pipes now overlap as intended, but ~7 cycles/block are still not explained by vector..."
round1,llama-attn-pv-int8,20260907-043140-2246,5,ok,8508,22856,4096,2.0771484375,False,0.670643,"Iter 4 taught me something important: 4,992 vs 4,999 — two different unroll depths / ring depths land on the **same 9.75 cycles per row**, so the register-hazard model was wrong and the bound is..."
round1,llama-attn-pv-int8,20260907-043140-2246,6,ok,4853,22856,4096,1.184814453125,True,0.350666,"Iter 5 taught two things: (1) scalar `lbu` misses on Shuttle are **not** free — they cost ~7 cycles each (≈+3,500), so scalar prefetch is off the table; (2) pulling lines into L1/L2 ahead of time did..."
round1,llama-silu-mul,20260907-043150-7557,0,ok,361260,361260,30720,11.759765625,True,0.0,
round1,llama-silu-mul,20260907-043150-7557,1,ok,289169,361260,30720,9.413053385416667,True,0.476418,"The directory isn't present on the kernel host — let me locate where the workspace actually lives.(The one remaining ""m8"" match is just the comment text.) The kernel is now the pristine algorithm at..."
round1,llama-silu-mul,20260907-043150-7557,2,ok,91474,361260,30720,2.977669270833333,True,0.253222,"Last turn's EXPECTED (~100k) missed badly: 289k cycles is ~35 cycles per element, while the whole Cephes chain at LMUL=4 is only ~30 ops × 8 beats / 32 elem ≈ 7.5 cycles/element. So the arithmetic..."
round1,llama-silu-mul,20260907-043150-7557,3,ok,79914,361260,30720,2.6013671875,True,0.390425,"Last turn's EXPECTED (~95–100k) landed at 91.5k — the model is now confirmed: the iterative divider was ~200k cycles, and what remains is 357 cycles per 32-element strip against ~40 vector ops × 8..."
round1,llama-silu-mul,20260907-043150-7557,4,ok,66820,361260,30720,2.1751302083333335,True,0.571262,"Last turn: EXPECTED ~77k, measured 79.9k — the beat model holds (312 cycles/strip vs 32 ops × 8 = 256 beats + ~56 of load/store/loop overhead that isn't fully hidden). Every arithmetic op removed is..."
round1,llama-silu-mul,20260907-043150-7557,5,ok,66811,361260,30720,2.1748372395833333,True,0.304961,"Last turn: EXPECTED ~66k, measured 66.8k — model holds. The loop is now 28 arithmetic ops × 8 beats = 224 of the 261 cycles/strip; the remaining ~37/strip is load/store/loop overhead I'll look at..."
round1,llama-silu-mul,20260907-043150-7557,6,selfcheck_failed,301,361260,30720,0.009798177083333333,False,0.31207,"Last turn's EXPECTED (−2k) missed: removing `vfmv.v.f` + `vfsub`→`vfrsub` saved only 9 cycles. That tells me the broadcast wasn't occupying the FP pipe (it goes to the integer/permute side,..."
round1,llama-softmax,20260907-043200-f0d7,0,ok,21906,21906,1472,14.88179347826087,True,0.0,
round1,llama-softmax,20260907-043200-f0d7,1,ok,2174,21906,1472,1.4769021739130435,True,1.303999,"Numerics verified in fp32 emulation: max relative error 6.4e-6 over [-20, 0] (16x under the 1e-4 gate). Assembles cleanly; the pass-2 loop has no whole-register spills.

Summary: replaced the LMUL=1,..."
round1,llama-softmax,20260907-043200-f0d7,2,ok,1975,21906,1472,1.341711956521739,True,0.578248,"Last turn's EXPECTED (~3,200) was pessimistic: the measured 2,174 matches the pure beat count almost exactly — 14 arithmetic ops × 8 beats × 16 groups = 1,792, plus 2 × 128 for passes 1/3, plus ~130..."
round1,llama-softmax,20260907-043200-f0d7,3,ok,2103,21906,1472,1.4286684782608696,False,0.646574,"Assembles cleanly; the loop body is now 10 arithmetic vector ops (the `vsll`+`vadd` pair became one `vmacc.vx`), and the fp32 emulation confirms identical numerics (worst rel error 7.3e-6).

Summary:..."
round1,llama-softmax,20260907-043200-f0d7,4,ok,1752,21906,1472,1.190217391304348,True,0.409873,"Assembles cleanly: the `call rintf` is gone, replaced by `fcvt.w.s rne` + `fcvt.s.w` (numerics identical — same round-to-nearest-even integer).

Summary: removed the newlib `rintf` call from the..."
round2,llama-q8-gemv-gemmini-n1,20260907-142155-86bf,-1,ok,132653,150339,131072,1.0120620727539062,True,0.0,
round2,llama-q8-gemv-gemmini-n1,20260907-142155-86bf,0,ok,150339,150339,131072,1.1469955444335938,False,0.0,
round2,llama-q8-gemv-gemmini-n1,20260907-142155-86bf,1,selfcheck_failed,134019,150339,131072,1.0224838256835938,False,2.785361,Kernel written to `/tmp/aether-kernel/include/llama_q8_gemv_gemmini_n1_kernel.h`; it compiles cleanly under `-march=rv64gcv_zfh_zvfh -O2` with no vector-register spills and a tight inner loop...
round2,llama-attn-scores-int8,20260907-142205-6c45,-1,ok,8574,51280,6144,1.3955078125,True,0.0,
round2,llama-attn-scores-int8,20260907-142205-6c45,0,ok,51280,51280,6144,8.346354166666666,False,0.0,
round2,llama-attn-pv-int8,20260907-142215-b093,-1,ok,4853,22856,4096,1.184814453125,True,0.0,
round2,llama-attn-pv-int8,20260907-142215-b093,0,ok,22856,22856,4096,5.580078125,False,0.0,
round2,llama-silu-mul,20260907-142225-55f2,-1,ok,66811,361260,30720,2.1748372395833333,True,0.0,
round2,llama-silu-mul,20260907-142225-55f2,0,ok,361260,361260,30720,11.759765625,False,0.0,
round2,llama-silu-mul,20260907-142225-55f2,1,ok,59008,361260,30720,1.9208333333333334,True,1.279443,"I'll start by loading the remote tools and reading the sealed harness (check formula, data range) plus the DB history, since the data range and tolerance decide which sigmoid shortcuts are legal.Bug..."
round2,llama-silu-mul,20260907-142225-55f2,2,ok,50256,361260,30720,1.6359375,True,0.467578,"Last turn's EXPECTED (42–47k) missed: measured 59,008. Per strip that is 115 cycles for 22 vector instructions × 4 beats = 88 beats, i.e. ~27 cycles of bubbles per strip — consistent with the..."
round2,llama-softmax,20260907-142235-7231,-1,ok,1752,21906,1472,1.190217391304348,True,0.0,
round2,llama-softmax,20260907-142235-7231,0,ok,21906,21906,1472,14.88179347826087,False,0.0,
round2,llama-softmax,20260907-142235-7231,1,ok,1630,21906,1472,1.107336956521739,True,1.113298,"**HYPOTHESIS:** Pass 2 is 11 serialized arithmetic ops × 8 beats × 16 groups = 1408 c; pass 1/3 are 128 c each; ~90 c overhead → 1752. Two of those 11 ops (`vfmul_vf r,c4` then `vfadd_vf ,c3`) exist..."
round2,llama-softmax,20260907-142235-7231,2,ok,1760,21906,1472,1.1956521739130435,False,0.311263,"Last turn's EXPECTED (1624) vs measured 1630: the model is confirmed exactly — every serialized arithmetic op in pass 2 costs 8 beats × 16 groups = 128 c, and the 1630 kernel (10 ops) is the one I'm..."
round2,llama-q8-gemv-gemmini-lmhead,20260907-144414-da36,0,ok,740101,740101,524288,1.411630630493164,True,0.0,
round2,llama-q8-gemv-gemmini-lmhead,20260907-144414-da36,1,ok,691515,740101,524288,1.318960189819336,True,1.415724,"Kernel replaced and compiles cleanly (`-march=rv64gcv_zfh_zvfh -O2`, exit 0). Tiling resolved from the macros is tile_I/J/K = 1/32/15 → 4 strips × 9 `loop_ws` calls (vs. 16 strips × 3 with 128 B rows..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,-1,ok,132653,150339,131072,1.0120620727539062,True,0.0,
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,0,ok,150339,150339,131072,1.1469955444335938,False,0.0,
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,1,ok,132834,150339,131072,1.0134429931640625,False,1.840147,"HYPOTHESIS: The hardware loop (`LoopMatmul`) only starts a loop's execute stage after that loop's whole A/B mvin has been *issued*, and the weight preload in WS mode costs ~DIM cycles per 16x16 B..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,2,selfcheck_failed,134842,150339,131072,1.0287628173828125,False,1.289833,"Last turn's EXPECTED missed badly: predicted ~125k, got 132,834 (+181 = just 3 more `loop_ws` issue overheads). Lesson: the execute stage is **not** exposed at the end of the stream — the ROB tracks..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,3,ok,140285,150339,131072,1.0702896118164062,False,1.45479,"Only `j = 511` (the last column, chunk 7, computed *last* and read back immediately after the fence) mismatched; the seven samples in chunk 0 (computed first) were right. So the arithmetic (pairing,..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,4,ok,132653,150339,131072,1.0120620727539062,False,0.562752,"Last turn's EXPECTED (~124k) missed by 16k, and that miss is the result of this round. Two data points on the same K-split:

- iter 2 (host slice overlapped, combine read C too early): **134,842**
-..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,5,ok,132653,150339,131072,1.0120620727539062,False,0.292978,"Last turn's EXPECTED was 132,653 and the measurement was 132,653 — the model is now exact, and the run also re-confirms determinism (Round 1 iter 5 got the same number). The workspace already holds..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,6,ok,132653,150339,131072,1.0120620727539062,False,0.349961,"Last turn's EXPECTED (132,653) matched exactly again. The file in the workspace is already the best-known kernel (iter 5 was that file, byte-for-byte), so there is nothing to restore — I am..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,7,ok,132424,150339,131072,1.01031494140625,True,0.485601,"Last turn's EXPECTED matched exactly (third time). I said I'd stop, but the loop keeps consuming runs on the same file, so I'll spend this turn on the one mechanism that is genuinely untested and..."
round2b,llama-q8-gemv-gemmini-n1,20260908-025820-f7c4,8,ok,132424,150339,131072,1.01031494140625,False,0.35902,"Last turn's EXPECTED had three branches; the measurement (132,424, **−229**, the best so far and deterministic — the v1 kernel reproduced 132,653 three times) matches neither the NOP branch (would be..."
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,-1,ok,691515,740101,524288,1.318960189819336,True,0.0,
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,0,ok,740101,740101,524288,1.411630630493164,False,0.0,
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,1,selfcheck_failed,,740101,524288,,False,1.799798,"I'll load the remote tools first, then inspect the hardware loop implementation and the experiment history before proposing a change.The kernel compiles cleanly with the new prefetch path (`rc=0`,..."
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,2,ok,706155,740101,524288,1.346883773803711,False,0.199846,"The failure is a trap (`tohost=1337` is the bare-metal trap-handler exit, before `MISMATCH` could print), not a wrong result — almost certainly an illegal-instruction trap because `mstatus.VS` is off..."
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,3,ok,742166,740101,524288,1.4155693054199219,False,0.546556,Last turn's EXPECTED missed badly: the host-side prefetch *cost* ~14.6k cycles (≈6 cycles per touched line) instead of saving ~20k. Lesson: the host's L1 miss path adds no usable MLP on this SoC —...
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,4,ok,704084,740101,524288,1.3429336547851562,False,1.508398,"The harness only echoed the cycle count, not my `CTR` lines — let me check whether the simulator log was kept anywhere on the remote machine before deciding the diagnostic was lost.Compiles cleanly..."
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,5,ok,659142,740101,524288,1.2572135925292969,True,1.7806,"+12.6k instead of −55k: the L2-resident-tail model is dead. The spill traffic (36 × 4 KiB, ~2300 lines) cost ~5.5 cycles/line and the reordered reads gained *nothing*, so the just-written tail of B..."
round2b,llama-q8-gemv-gemmini-lmhead,20260908-025835-a0cc,6,ok,738754,740101,524288,1.4090614318847656,False,0.858805,"Last turn's EXPECTED (~580k) missed: the hand-issued stream gained only 32k, not 110k. What that says about the machine: 4 MiB / 659k = 6.36 B/cycle, which matches a DMA with ~16 outstanding 64 B..."
round2b,llama-attn-scores-int8,20260908-025850-2356,-1,ok,8574,51280,6144,1.3955078125,True,0.0,
round2b,llama-attn-scores-int8,20260908-025850-2356,0,ok,51280,51280,6144,8.346354166666666,False,0.0,
round2b,llama-attn-scores-int8,20260908-025850-2356,1,ok,12138,51280,6144,1.9755859375,False,2.875773,"Now writing the new kernel.Kernel rewritten and assembles cleanly (`-march=rv64gcv_zfh_zvfh -O2`, no warnings): K is now fetched with plain unit-stride `vle8` (e8m8) instead of `vlseg8e8`, each row's..."
round2b,llama-attn-scores-int8,20260908-025850-2356,2,ok,8233,51280,6144,1.3400065104166667,True,2.173739,Best-known kernel restored with a single isolated edit: the four-row K block (and the once-only `q` load over its 4×-replicated buffer) is now fetched with `vlseg8e64` at vl=4 — 4 sixty-four-byte...
round2b,llama-attn-scores-int8,20260908-025850-2356,3,ok,8763,51280,6144,1.42626953125,False,1.764776,"Last turn's EXPECTED (~6,000) missed: measured 8,233, only −5 c/pair. That taught me segmented-load cost on this machine is essentially per-byte — the segmenter is *not* the binding resource, so the..."
round2b,llama-attn-scores-int8,20260908-025850-2356,4,ok,10740,51280,6144,1.748046875,False,1.217047,"Last turn's EXPECTED (7,300–7,700) missed: 8,763 (+8 c/pair). Hoisting kscale two blocks ahead bought nothing, so the cold `vle32` was never an exposed stall; the +2 reduce ops and +1 load per pair..."
round2b,llama-attn-pv-int8,20260908-025905-5427,-1,ok,4853,22856,4096,1.184814453125,True,0.0,
round2b,llama-attn-pv-int8,20260908-025905-5427,0,ok,22856,22856,4096,5.580078125,False,0.0,
round2b,llama-attn-pv-int8,20260908-025905-5427,1,ok,4991,22856,4096,1.218505859375,False,1.28169,"I'll start by checking the experiment database for what Round 1 already measured, so I don't repeat known-bad ideas.The kernel directory isn't materialised yet on that machine; I'll create it and..."
round2b,llama-attn-pv-int8,20260908-025905-5427,2,ok,4967,22856,4096,1.212646484375,False,0.53004,**Last turn's EXPECTED missed** (4991 vs predicted ~4500; the best is 4853). Lesson: dispatching `vle8`s whose destination is still being read by a pending `vwmul` *clogs* the in-order load...
round2b,llama-attn-pv-int8,20260908-025905-5427,3,ok,6034,22856,4096,1.47314453125,False,1.22955,"**Last turn's EXPECTED missed again** (4967 vs best 4853). Removing 384 scalar loads made it *slower*, so scalar loads don't contend with the vector stream; together with turn 1 this says: the scalar..."
round2b,llama-attn-pv-int8,20260908-025905-5427,4,ok,5416,22856,4096,1.322265625,False,1.115542,"**Turn 3's EXPECTED missed badly** (6034, +9 c/iteration), and that is the most informative result so far. It tells me Saturn resolves **WAR at instruction granularity**: `vwmul v12` of the next..."
round2b,llama-silu-mul,20260908-025919-3d8d,-1,ok,50256,361260,30720,1.6359375,True,0.0,
round2b,llama-silu-mul,20260908-025919-3d8d,0,ok,361260,361260,30720,11.759765625,False,0.0,
round2b,llama-silu-mul,20260908-025919-3d8d,1,ok,47173,361260,30720,1.5355794270833334,True,0.622225,"Assembles cleanly, no spills: the loop body is now 2 loads, 15 FP-pipe ops, 4 integer-pipe ops (`vmin.vx`, `vminu.vx`, `vsll.vi`, `vadd.vv`), 1 store — the `t` clamp moved off the FP pipe onto..."
round2b,llama-silu-mul,20260908-025919-3d8d,2,ok,35795,361260,30720,1.1652018229166667,True,1.093504,"Assembles cleanly: the loop is now 2 loads, 17 FP-pipe ops, 5 integer-pipe ops (+ one compiler `vmv.v.v` copy on the integer pipe, which has ~90 beats of slack), 1 store, 3 constant groups, no..."
round2b,llama-silu-mul,20260908-025919-3d8d,3,ok,35774,361260,30720,1.1645182291666667,True,0.738158,"Last turn's EXPECTED (~38k) landed at 35,795 — the hypothesis was confirmed: `vfrec7` was executing on the iterative div/sqrt unit at ~2 cycles/element with the FP sequencer stalled behind it. The..."
round2b,llama-silu-mul,20260908-025919-3d8d,4,ok,37012,361260,30720,1.2048177083333333,False,1.106641,"Last turn's EXPECTED missed badly: removing 8 FP beats/strip saved 21 cycles total, not ~2,000. Per-strip time stayed at 139.7 whether the FP pipe needs 136 or 128 beats — so the FP pipe is **no..."
round2b,llama-softmax,20260908-025933-f639,-1,ok,1630,21906,1472,1.107336956521739,True,0.0,
round2b,llama-softmax,20260908-025933-f639,0,ok,21906,21906,1472,14.88179347826087,False,0.0,
round2b,llama-softmax,20260908-025933-f639,1,ok,1760,21906,1472,1.1956521739130435,False,0.717956,HYPOTHESIS: Pass 2 is bound by the single execute sequencer: 10 arithmetic ops × 8 beats × 16 groups = 1280 of the 1630 cycles. Two of those ops (`vsll` by 23 then `vadd` into `bits(p)`) build the...
round2b,llama-softmax,20260908-025933-f639,2,ok,1624,21906,1472,1.1032608695652173,True,0.978656,"Last turn's EXPECTED (≈1500) missed by +260: `vmacc.vx` on this config costs ~24 beats per e32m4 group, i.e. the integer multiplier is **not** DLEN-rate (roughly one third of the FMA/ALU rate)...."
round2b,llama-softmax,20260908-025933-f639,3,ok,1568,21906,1472,1.065217391304348,True,0.472894,"Last turn's EXPECTED (−60) missed: only −6. What that says about the machine: (1) the load sequencer is **in-order** too — my three constant `vle32`s were emitted right before the loop, so the loop's..."
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,-1,ok,132424,150339,131072,1.01031494140625,True,0.0,
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,0,ok,150339,150339,131072,1.1469955444335938,False,0.0,
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,1,selfcheck_failed,779335,150339,131072,5.945854187011719,False,3.626572,"我先加载远端工具和实验数据库工具，看看现有测量数据能否区分""DMA 受限""还是""execute 受限""这两种模型。编译通过，文件已写入 `/tmp/aether-kernel/include/llama_q8_gemv_gemmini_n1_kernel.h`。

本轮小结：这是一次刻意的测量迭代（选项 e/f）——kernel 只做 7 段 mvin-only 扫描并把每段周期数写进 8..."
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,2,ok,132424,150339,131072,1.01031494140625,False,1.08448,"测量成功——这次""失败""本来就是设计好的测量迭代（选项 e），侧信道把 7 段计时全部带了出来。先记录结论，再把正确的最优 kernel 恢复回去。

**测量结果（mvin-only，无计算）：**

| 段 | 请求形状 / 顺序 / L2 状态 | cycles |
|---|---|---|
| P1 | stride-512 16×64 B、K 降序、harness 刚填完（与真实..."
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,3,ok,133147,150339,131072,1.0158309936523438,False,1.4329,"上一轮 EXPECTED（132,424 ± 噪声）精确命中，说明仿真是确定性的、恢复的 kernel 就是最优版本。本轮我把上一轮的测量数据再往下推一层：

- mvin-only 探针 P1 = 132,109 与真实 kernel 只差 315，所以任何 execute/mvout/loop 边界/A 操作数加载的微调最多只值 315 cycles——不值得动。
-..."
round3,llama-q8-gemv-gemmini-n1,20260908-202413-e8e8,4,ok,132424,150339,131072,1.01031494140625,False,0.3178,"**HYPOTHESIS:** 上一轮 EXPECTED 未命中（预期 ~130,400，实测 133,147，比最优差 +723）。它教会我的是：L2 对 hint 的取数并不""免费""——即便在开头 DRAM 看似空转的窗口里，hint 引入的 L2 分配会随机逐出尚未读取的暖行（脏行还要写回），再加上提前两个 tile 取回的行在被用到之前又有 ~20–40%..."
round3,llama-q8-gemv-gemmini-lmhead,20260908-202428-217e,-1,ok,659142,740101,524288,1.2572135925292969,True,0.0,
round3,llama-q8-gemv-gemmini-lmhead,20260908-202428-217e,0,ok,740101,740101,524288,1.411630630493164,False,0.0,
round3,llama-q8-gemv-gemmini-lmhead,20260908-202428-217e,1,ok,738596,740101,524288,1.4087600708007812,False,0.856518,编译通过。改动只有一处：`LQ8_B_ROWS` 4 → `DIM`，每条 B 的 mvin 从 256 B 变成 1024 B（16 行 × 64 B），让 2 条可跟踪的 mvin 命令足以填满 16 个 DMA 请求槽；流水线结构（ring 槽、执行与加载交错、累加器整段 K 归约后一次 mvout）不变。预期 ~400k...
round3,llama-q8-gemv-gemmini-lmhead,20260908-202428-217e,2,ok,729519,740101,524288,1.3914470672607422,False,0.475297,上一轮 EXPECTED 落空（预测 ~400k，实测 738.6k ≈ 原始 `tiled_matmul_auto` 的 740k）。教训：1024 B/命令的 16 行、2 KiB 步长的请求序列，其后端吞吐与原始 loop_ws 完全一样（5.68 B/cycle），也就是说**16 行 × 2 KiB 步长的地址模式本身**才是 740k 级别的元凶，而 4 行分组之所以好...
round3,llama-q8-gemv-gemmini-lmhead,20260908-202428-217e,3,ok,810910,740101,524288,1.5466880798339844,False,1.568522,编译通过（警告全部来自 `gemmini.h`，我的文件无警告）。本轮改动：把 4 条 512 列条带合并为**单遍 K 扫描**——因为每个输出块仅占 1 个累加器行（C_rows=1），128 个输出块只需 128 个 acc 行，于是 B 的每个 4 行 × 8 KiB 跨度在 32 条 mvin 内被完整顺序消费（与 n1 实测 8.4 cycle/行的请求流同构）；A 打包成 128...
round3,llama-q8-gemm,20260908-202443-5906,0,ok,146737,146737,131072,1.1195144653320312,True,0.0,
round3,llama-q8-gemm,20260908-202443-5906,1,ok,138892,146737,131072,1.059661865234375,True,2.252432,Now the compile check against the pristine `/tmp/gq8` tree (my header first on the include path):Kernel written to `/tmp/aether-kernel/include/llama_q8_gemm_kernel.h` and it compiles cleanly...
round3,llama-q8-gemm,20260908-202443-5906,2,ok,140692,146737,131072,1.073394775390625,False,0.760355,"上一轮的 EXPECTED（≈139,000）与实测 138,892 几乎完全吻合——""DMA 约 8 B/cycle（每个 64 B 请求约 8 cycle）、A 读两次、B 读一次""这个机器模型成立。剩余的 ~7.8k cycles 由两部分组成：冷启动前奏（ex 要等 LdA 以 i-major 顺序装完 A 的 3/4 行带 + B(0,·)，≈27 KiB ≈ 3.4k..."
round3,llama-q8-gemm,20260908-202443-5906,3,ok,139137,146737,131072,1.0615310668945312,False,2.871786,"上一轮 EXPECTED（≈136.8k）落空：实测 140,692，比最佳内核**慢** 1.8k。这否定了""冷启动等待由 LdA 的 i-major 顺序主导、且 DMA 能在后续 loop 中建立领先量""的模型。能同时解释两次测量的模型是：**loop n+1 的装载实际上只能在 loop n 的 ex 期间进行**（第 n+2 个 LOOP_WS 要等 n 号 slot 释放，其..."
